,Date,Tmax,Tmin,Tavg,DewPoint,WetBulb,SnowFall,PrecipTotal,AvgSpeed
598,2008-08-24,77.5,64.0,71.0,57.0,62.5,0.0,0.0,9.85
600,2008-08-25,74.0,65.0,69.5,55.0,60.5,0.0,0.0,12.25
602,2008-08-26,75.5,61.0,68.5,54.5,60.5,0.0,0.0,8.95
604,2008-08-27,82.5,60.5,71.5,56.5,63.0,0.0,0.0,5.300000000000001
606,2008-08-28,80.5,65.0,73.0,64.5,67.5,0.0,0.04,6.6
608,2008-08-29,84.5,65.5,75.5,59.5,65.5,0.0,0.0205,6.3
610,2008-08-30,87.0,58.5,73.0,55.0,63.0,0.0,0.0,3.5
612,2008-08-31,89.5,62.5,76.0,56.5,64.5,0.0,0.0,5.300000000000001
614,2008-09-01,89.5,64.5,77.0,54.0,63.5,0.0,0.0,7.800000000000001
616,2008-09-02,94.5,66.5,81.0,61.0,68.0,0.0,0.0005,4.45
618,2008-09-03,77.0,67.0,72.5,61.0,64.5,0.0,0.01,11.25
620,2008-09-04,67.5,62.0,65.0,62.0,63.0,0.0,2.79,12.3
622,2008-09-05,69.0,57.5,63.5,57.0,59.5,0.0,0.005,5.800000000000001
624,2008-09-06,74.0,54.5,64.5,54.0,58.5,0.0,0.0055,5.4
626,2008-09-07,74.0,56.5,65.5,51.5,57.5,0.0,0.005,7.0
628,2008-09-08,68.5,52.5,61.0,53.0,55.5,0.0,1.12,6.550000000000001
630,2008-09-09,68.5,49.0,59.0,45.5,52.0,0.0,0.005,6.15
632,2008-09-10,72.0,49.0,60.5,47.5,54.0,0.0,0.0,5.0
634,2008-09-11,79.0,56.0,67.5,57.0,61.5,0.0,0.0005,9.600000000000001
636,2008-09-12,73.0,69.0,71.0,67.5,68.5,0.0,0.495,6.949999999999999
638,2008-09-13,76.0,68.5,72.5,70.0,71.0,0.0,4.8549999999999995,9.399999999999999
640,2008-09-14,72.0,58.0,65.0,61.5,62.5,0.0,1.595,10.0
642,2008-09-15,64.0,54.0,59.0,52.0,55.5,0.0,0.0055,6.199999999999999
644,2008-09-16,71.0,49.5,60.5,50.0,55.0,0.0,0.0,6.0
646,2008-09-17,82.5,57.5,70.5,56.0,60.5,0.0,0.0,7.55
648,2008-09-18,74.0,59.0,66.5,55.5,60.0,0.0,0.0,7.550000000000001
650,2008-09-19,78.0,56.0,67.5,53.5,59.5,0.0,0.0,6.4
652,2008-09-20,82.0,57.5,70.0,56.5,61.5,0.0,0.0,3.0
654,2008-09-21,80.0,59.0,69.5,61.0,64.5,0.0,0.0,3.9000000000000004
656,2008-09-22,81.5,62.0,72.0,59.0,64.0,0.0,0.0,7.65
658,2008-09-23,82.5,61.0,72.0,56.5,62.5,0.0,0.0,7.65
660,2008-09-24,82.0,59.5,71.0,58.0,63.0,0.0,0.1,4.75
662,2008-09-25,77.5,64.5,71.0,61.0,64.5,0.0,0.0,6.75
664,2008-09-26,78.5,59.5,69.0,54.5,60.5,0.0,0.0,4.449999999999999
666,2008-09-27,80.5,54.0,67.5,54.0,60.0,0.0,0.0,2.9000000000000004
668,2008-09-28,68.5,58.5,64.0,57.0,60.0,0.0,0.0,7.6
670,2008-09-29,64.5,55.0,60.0,56.0,58.0,0.0,0.46499999999999997,4.6
672,2008-09-30,60.0,48.0,54.5,44.5,49.5,0.0,0.005,10.5
674,2008-10-01,61.5,46.0,54.0,40.5,47.0,0.0,0.0,11.05
676,2008-10-02,61.5,42.5,52.5,40.0,47.0,0.0,0.0,9.649999999999999
678,2008-10-03,59.5,46.5,53.0,42.5,48.0,0.0,0.01,8.0
680,2008-10-04,60.5,40.0,50.5,38.5,45.5,0.0,0.0,4.35
682,2008-10-05,61.0,43.5,52.5,42.0,48.5,0.0,0.045,6.9
684,2008-10-06,69.5,55.0,62.5,46.5,54.0,0.0,0.0,9.899999999999999
686,2008-10-07,64.0,56.0,60.5,52.0,56.0,0.0,0.8300000000000001,11.100000000000001
688,2008-10-08,63.5,51.0,57.5,51.5,54.5,0.0,0.24,8.2
690,2008-10-09,69.0,47.5,58.5,38.5,49.0,0.0,0.0,5.3
692,2008-10-10,72.5,44.0,58.5,41.5,50.5,0.0,0.0,6.4
694,2008-10-11,79.5,53.0,66.5,50.0,57.0,0.0,0.0,5.0
696,2008-10-12,85.0,59.5,72.5,55.0,61.5,0.0,0.0,5.699999999999999
698,2008-10-13,78.0,62.5,70.5,57.5,63.0,0.0,0.0,8.399999999999999
700,2008-10-14,69.5,54.0,62.0,43.0,51.5,0.0,0.001,7.0
702,2008-10-15,63.5,48.5,56.0,50.5,53.5,0.0,0.27,6.55
704,2008-10-16,59.0,43.5,51.5,38.5,44.5,0.0,0.0,7.75
706,2008-10-17,56.5,43.5,50.0,39.5,45.0,0.0,0.0005,7.2
708,2008-10-18,60.0,44.5,52.5,40.5,46.0,0.0,0.095,5.699999999999999
710,2008-10-19,62.0,42.0,52.0,37.0,45.5,0.0,0.0,11.65
712,2008-10-20,55.5,43.5,49.5,42.5,46.5,0.0,0.245,7.5
714,2008-10-21,55.0,38.5,47.0,36.0,42.5,0.0,0.0,8.95
716,2008-10-22,53.0,37.5,45.5,29.5,40.0,0.0,0.0,12.85
718,2008-10-23,59.0,40.5,50.0,35.0,43.5,0.0,0.125,11.3
720,2008-10-24,55.0,44.5,50.0,44.0,47.0,0.0,0.475,6.5
722,2008-10-25,53.0,43.0,48.0,40.5,44.5,0.0,0.001,12.75
724,2008-10-26,56.0,36.5,46.5,33.0,41.0,0.001,0.0055,18.1
726,2008-10-27,47.0,33.5,40.5,27.5,35.0,0.001,0.001,14.15
728,2008-10-28,45.0,31.5,38.5,23.0,33.0,0.0,0.0,10.600000000000001
730,2008-10-29,51.0,32.5,42.0,24.5,34.5,0.0,0.0,6.15
732,2008-10-30,62.5,32.5,48.0,31.5,41.0,0.0,0.0,9.9
734,2008-10-31,70.5,48.5,59.5,46.0,51.0,0.0,0.0,7.65
736,2009-05-01,61.0,47.0,54.0,41.0,47.5,0.0,0.03,8.55
738,2009-05-02,65.5,44.5,55.0,33.5,45.5,0.0,0.0,9.35
740,2009-05-03,70.0,44.0,57.5,34.5,47.5,0.0,0.0,4.85
742,2009-05-04,70.0,46.0,58.5,35.0,47.5,0.0,0.0,8.0
744,2009-05-05,70.5,51.5,61.0,40.5,50.5,0.0,0.0,5.95
746,2009-05-06,75.0,53.5,64.5,51.0,55.5,0.0,0.765,7.65
748,2009-05-07,77.0,56.0,67.0,52.5,57.5,0.0,0.11,9.75
750,2009-05-08,75.5,55.0,65.5,54.0,58.5,0.0,0.015,6.05
752,2009-05-09,63.5,45.5,55.0,44.0,48.5,0.0,0.0005,11.55
754,2009-05-10,67.0,41.5,54.5,39.5,46.5,0.0,0.01,8.7
756,2009-05-11,61.0,39.5,50.5,34.5,44.0,0.0,0.0,4.55
758,2009-05-12,71.5,41.5,56.5,33.0,47.0,0.0,0.0,9.55
760,2009-05-13,70.5,53.5,62.5,57.0,59.0,0.0,0.79,15.6
762,2009-05-14,68.5,54.0,61.5,44.0,52.5,0.0,0.0005,11.0
764,2009-05-15,62.0,53.5,58.0,51.5,54.5,0.0,0.5449999999999999,7.300000000000001
766,2009-05-16,62.0,46.0,54.5,40.5,49.5,0.0,0.02,12.45
768,2009-05-17,61.0,40.0,50.5,27.5,42.0,0.0,0.0,6.35
770,2009-05-18,66.5,42.5,54.5,31.5,45.0,0.0,0.001,9.7
772,2009-05-19,80.0,53.0,66.5,43.5,54.5,0.0,0.0,13.100000000000001
774,2009-05-20,84.5,61.0,73.0,43.5,57.0,0.0,0.0005,13.35
776,2009-05-21,84.5,60.0,72.5,48.5,59.0,0.0,0.0,11.850000000000001
778,2009-05-22,69.5,54.5,62.0,46.5,53.5,0.0,0.0,10.649999999999999
780,2009-05-23,79.5,52.5,66.0,50.5,57.5,0.0,0.0005,5.6
782,2009-05-24,70.5,55.5,63.0,46.5,53.5,0.0,0.0,10.9
784,2009-05-25,65.5,55.0,60.5,44.5,52.0,0.0,0.06,10.15
786,2009-05-26,75.0,54.5,65.0,52.5,56.5,0.0,1.555,7.3
788,2009-05-27,74.0,56.5,65.5,59.0,61.5,0.0,0.0105,7.75
790,2009-05-28,63.0,54.5,59.0,51.0,54.0,0.0,0.0,8.2
792,2009-05-29,75.5,52.5,64.0,49.0,55.0,0.0,0.0005,6.85
794,2009-05-30,79.0,51.5,65.5,46.0,54.5,0.0,0.001,6.699999999999999
796,2009-05-31,72.5,47.0,60.0,42.0,51.0,0.0,0.0,5.449999999999999
798,2009-06-01,79.0,51.5,65.5,53.5,57.5,0.0,0.635,10.55
800,2009-06-02,60.5,49.0,55.0,46.5,50.5,0.0,0.09,8.6
802,2009-06-03,61.0,45.0,53.0,39.5,47.0,0.0,0.0,11.05
804,2009-06-04,68.0,44.5,56.5,37.5,48.5,0.0,0.0,6.15
806,2009-06-05,79.5,45.5,63.0,43.5,54.0,0.0,0.0,6.95
808,2009-06-06,64.5,53.0,59.0,46.5,51.5,0.0,0.0105,7.45
810,2009-06-07,73.5,54.0,64.0,53.5,58.0,0.0,0.0205,7.300000000000001
812,2009-06-08,81.0,53.5,67.5,60.5,64.0,0.0,0.375,9.6
814,2009-06-09,67.0,55.5,61.5,53.0,56.0,0.0,0.001,7.1
816,2009-06-10,67.0,54.5,61.0,49.5,54.0,0.0,0.025,8.95
818,2009-06-11,62.0,53.0,58.0,52.0,54.0,0.0,0.575,9.65
820,2009-06-12,73.0,49.5,61.5,49.0,55.0,0.0,0.001,6.25
822,2009-06-13,67.0,55.0,61.0,51.5,55.0,0.0,0.32,7.15
824,2009-06-14,76.5,52.5,64.5,49.0,57.0,0.0,0.0,5.25
826,2009-06-15,81.0,55.0,68.0,49.0,58.0,0.0,0.0,7.050000000000001
828,2009-06-16,71.0,61.5,66.5,56.0,60.5,0.0,1.15,11.25
830,2009-06-17,72.0,62.0,67.0,59.5,62.5,0.0,0.0,6.45
832,2009-06-18,80.5,62.0,71.5,63.5,67.0,0.0,0.11499999999999999,6.85
834,2009-06-19,87.0,65.5,76.5,67.5,69.5,0.0,2.42,11.05
836,2009-06-20,87.5,68.5,78.5,65.0,70.0,0.0,0.0,8.6
838,2009-06-21,85.0,70.5,78.0,63.5,68.5,0.0,0.0055,3.7
840,2009-06-22,89.0,69.0,79.5,67.0,71.0,0.0,0.075,6.4
842,2009-06-23,93.0,73.0,83.5,68.5,73.0,0.0,0.0,4.0
844,2009-06-24,93.5,74.0,84.0,68.0,73.0,0.0,0.41000000000000003,5.05
846,2009-06-25,93.5,75.5,85.0,68.5,73.0,0.0,0.0005,4.75
848,2009-06-26,86.0,70.5,78.5,60.5,66.0,0.0,0.0,8.1
850,2009-06-27,89.5,64.5,77.5,60.5,67.0,0.0,0.175,6.9
852,2009-06-28,83.0,67.0,75.5,53.0,62.0,0.0,0.0,14.1
854,2009-06-29,77.5,64.0,71.0,54.0,61.0,0.0,0.0,13.399999999999999
856,2009-06-30,67.0,60.0,64.0,53.0,57.5,0.0,0.0,8.7
858,2009-07-01,65.0,57.0,61.0,53.0,56.5,0.0,0.0105,8.05
860,2009-07-02,73.0,59.5,66.5,54.5,60.0,0.0,0.0,8.2
862,2009-07-03,79.0,62.5,71.0,56.0,62.0,0.0,0.0,6.15
864,2009-07-04,69.0,61.0,65.0,58.0,61.5,0.0,0.16,4.25
866,2009-07-05,81.5,59.0,70.5,58.5,63.5,0.0,0.04,2.5
868,2009-07-06,85.5,61.5,73.5,54.0,62.5,0.0,0.0,6.65
870,2009-07-07,76.5,62.0,69.5,54.5,60.5,0.0,0.0005,7.25
872,2009-07-08,66.5,61.5,64.0,55.5,59.0,0.0,0.115,7.2
874,2009-07-09,79.5,61.0,70.5,57.5,63.5,0.0,0.0,7.1
876,2009-07-10,83.0,65.0,74.5,64.5,67.5,0.0,0.1,4.75
878,2009-07-11,85.0,65.5,75.5,59.5,66.0,0.0,0.685,7.3
880,2009-07-12,82.0,59.0,70.5,50.5,60.0,0.0,0.0,5.45
882,2009-07-13,78.5,63.5,71.0,47.0,58.0,0.0,0.0,6.6
884,2009-07-14,80.5,57.5,69.5,50.0,59.5,0.0,0.0,7.6
886,2009-07-15,85.5,66.0,76.0,62.0,67.0,0.0,0.5,13.100000000000001
888,2009-07-16,81.0,64.5,73.0,56.5,62.5,0.0,0.0855,10.55
890,2009-07-17,70.0,57.5,64.0,51.5,56.5,0.0,0.0005,10.600000000000001
892,2009-07-18,72.5,57.5,65.5,52.0,57.5,0.0,0.0,7.6499999999999995
894,2009-07-19,72.0,58.5,65.5,52.5,58.5,0.0,0.0,4.3
896,2009-07-20,76.0,57.0,67.0,55.5,60.5,0.0,0.0,6.0
898,2009-07-21,81.0,61.0,71.0,56.5,62.5,0.0,0.02,6.05
900,2009-07-22,78.5,64.5,72.0,60.0,64.0,0.0,0.0005,5.45
902,2009-07-23,80.5,62.5,71.5,59.0,63.5,0.0,0.05,5.5
904,2009-07-24,83.0,61.5,72.5,59.5,64.5,0.0,0.165,9.7
906,2009-07-25,81.0,66.0,74.0,58.5,64.5,0.0,0.0005,11.3
908,2009-07-26,82.0,63.5,73.0,58.5,64.5,0.0,0.0005,9.0
910,2009-07-27,84.0,65.0,74.5,61.0,66.5,0.0,0.025,9.85
912,2009-07-28,85.0,67.0,76.0,61.0,66.5,0.0,0.01,7.85
914,2009-07-29,80.0,64.0,72.5,51.5,60.0,0.0,0.0,7.1
916,2009-07-30,79.5,62.0,71.0,57.0,62.5,0.0,0.001,5.9
918,2009-07-31,81.5,60.0,71.0,54.5,61.5,0.0,0.0,7.0
920,2009-08-01,75.0,62.0,68.5,59.0,62.5,0.0,0.0055,10.95
922,2009-08-02,78.5,57.5,68.5,51.5,59.0,0.0,0.0,9.0
924,2009-08-03,85.0,67.5,76.5,60.5,66.0,0.0,0.065,11.850000000000001
926,2009-08-04,85.5,68.0,77.0,62.0,67.5,0.0,0.0,6.0
928,2009-08-05,79.0,63.5,71.5,55.0,62.0,0.0,0.0,4.9
930,2009-08-06,81.5,61.0,71.5,51.0,60.0,0.0,0.0,5.45
932,2009-08-07,74.0,65.5,70.0,59.0,63.0,0.0,0.28,7.5
934,2009-08-08,89.0,68.5,79.0,70.0,73.0,0.0,0.05,13.2
936,2009-08-09,91.5,77.0,84.5,71.5,74.5,0.0,0.09999999999999999,12.600000000000001
938,2009-08-10,85.5,70.5,78.5,65.5,69.5,0.0,0.0,8.05
940,2009-08-11,81.5,63.5,72.5,61.5,66.0,0.0,0.0,8.35
942,2009-08-12,82.5,61.5,72.5,55.5,62.5,0.0,0.0,6.45
944,2009-08-13,86.0,61.5,74.0,55.0,63.0,0.0,0.0,3.9
946,2009-08-14,88.0,65.0,77.0,59.0,66.0,0.0,0.0,6.1
948,2009-08-15,89.0,68.5,79.0,61.0,67.5,0.0,0.0,8.8
950,2009-08-16,89.0,70.5,80.0,67.5,70.5,0.0,0.45,10.149999999999999
952,2009-08-17,83.0,70.5,77.0,68.0,70.5,0.0,0.45999999999999996,6.65
954,2009-08-18,83.5,65.5,74.5,60.0,65.5,0.0,0.0,8.2
956,2009-08-19,82.0,61.5,72.0,61.0,65.5,0.0,0.48,8.45
958,2009-08-20,78.5,64.0,71.5,61.0,65.0,0.0,0.095,12.6
960,2009-08-21,73.5,59.0,66.5,58.0,61.0,0.0,0.10500000000000001,11.95
962,2009-08-22,68.5,57.5,63.5,52.0,56.5,0.0,0.0,9.9
964,2009-08-23,73.5,57.0,65.5,54.0,58.5,0.0,0.0,7.0
966,2009-08-24,79.0,55.5,67.5,56.5,61.5,0.0,0.0,5.4
968,2009-08-25,82.5,60.0,71.5,61.0,65.0,0.0,0.0,8.899999999999999
970,2009-08-26,72.5,63.0,68.0,63.0,64.5,0.0,0.7350000000000001,7.55
972,2009-08-27,67.0,61.5,64.5,60.5,62.0,0.0,1.0699999999999998,10.35
974,2009-08-28,69.5,60.5,65.0,61.0,62.5,0.0,0.25,5.550000000000001
976,2009-08-29,69.0,56.0,63.0,51.5,56.5,0.0,0.015,11.45
978,2009-08-30,66.0,51.0,59.0,47.0,52.5,0.0,0.0005,9.9
980,2009-08-31,67.5,49.0,58.5,44.0,52.0,0.0,0.0,6.4
982,2009-09-01,71.5,48.5,60.5,48.0,54.0,0.0,0.0,3.45
984,2009-09-02,72.5,51.5,62.5,50.5,56.0,0.0,0.0,4.5
986,2009-09-03,75.0,56.5,66.0,54.5,59.5,0.0,0.0,5.95
988,2009-09-04,75.0,56.0,66.0,54.5,59.5,0.0,0.0,4.25
990,2009-09-05,78.0,55.5,67.0,57.0,61.5,0.0,0.0,5.55
992,2009-09-06,77.0,63.5,70.5,59.0,63.5,0.0,0.0155,5.949999999999999
994,2009-09-07,77.0,61.0,69.0,59.0,62.5,0.0,0.0,5.45
996,2009-09-08,78.0,61.0,69.5,61.0,64.0,0.0,0.0,7.65
998,2009-09-09,77.5,66.5,72.5,63.0,65.5,0.0,0.0,7.050000000000001
1000,2009-09-10,80.5,64.5,73.0,62.0,65.5,0.0,0.0,7.05
1002,2009-09-11,79.0,62.5,71.0,59.0,63.5,0.0,0.0,6.15
1004,2009-09-12,78.5,59.5,69.5,60.5,63.5,0.0,0.0,4.65
1006,2009-09-13,79.5,57.5,68.5,54.5,60.5,0.0,0.005,3.6
1008,2009-09-14,84.0,58.5,71.5,55.5,61.5,0.0,0.0,2.4000000000000004
1010,2009-09-15,82.5,63.5,73.0,58.5,63.5,0.0,0.0,7.25
1012,2009-09-16,71.5,60.5,66.0,54.0,59.5,0.0,0.0,12.4
1014,2009-09-17,71.5,52.0,62.0,51.5,56.5,0.0,0.0,4.800000000000001
1016,2009-09-18,79.0,51.0,65.5,55.0,59.0,0.0,0.0,6.550000000000001
1018,2009-09-19,75.5,56.5,66.5,55.0,59.5,0.0,0.0,5.85
1020,2009-09-20,72.0,54.0,63.5,56.0,60.0,0.0,0.595,7.6
1022,2009-09-21,68.0,61.5,65.0,59.5,61.5,0.0,0.001,5.05
1024,2009-09-22,76.5,61.0,69.0,65.0,67.0,0.0,0.02,7.5
1026,2009-09-23,76.0,62.0,69.0,62.5,64.0,0.0,0.0,4.35
1028,2009-09-24,72.0,64.0,68.5,62.5,64.5,0.0,0.0,4.550000000000001
1030,2009-09-25,70.0,60.0,65.0,57.0,60.0,0.0,0.09,6.8
1032,2009-09-26,67.5,55.5,61.5,56.0,59.0,0.0,0.0005,4.6
1034,2009-09-27,74.0,51.5,63.0,53.0,57.5,0.0,0.27999999999999997,10.2
1036,2009-09-28,62.5,49.5,56.5,42.0,49.0,0.0,0.0055,20.45
1038,2009-09-29,59.0,48.0,53.5,42.0,48.0,0.0,0.0005,10.25
1040,2009-09-30,61.5,48.0,55.0,41.0,47.5,0.0,0.0,6.9
1042,2009-10-01,59.0,42.5,51.0,46.0,49.0,0.0,0.74,9.1
1044,2009-10-02,56.0,47.5,52.0,46.0,48.0,0.0,0.19,11.8
1046,2009-10-03,57.5,47.0,52.5,47.0,49.0,0.0,0.07,8.600000000000001
1048,2009-10-04,60.5,45.0,53.0,42.5,47.0,0.0,0.0005,9.25
1050,2009-10-05,61.5,42.5,52.5,42.0,47.0,0.0,0.0,4.95
1052,2009-10-06,61.5,49.0,55.5,46.5,50.5,0.0,0.04,15.0
1054,2009-10-07,60.0,45.0,53.0,39.0,46.0,0.0,0.0,10.45
1056,2009-10-08,53.5,46.0,50.0,46.0,48.5,0.0,0.13,5.199999999999999
1058,2009-10-09,52.0,39.5,46.0,43.5,45.5,0.0,0.445,10.1
1060,2009-10-10,48.0,32.0,40.5,30.0,35.5,0.0,0.0,7.949999999999999
1062,2009-10-11,44.5,29.0,37.0,22.5,32.5,0.0,0.0,4.9
1064,2009-10-12,48.5,41.5,45.5,35.0,40.5,0.0,0.0105,3.65
1066,2009-10-13,47.5,35.0,41.5,32.0,38.5,0.0,0.0,10.65
1068,2009-10-14,48.0,42.0,45.0,36.0,41.0,0.0,0.03,11.35
1070,2009-10-15,44.0,41.0,43.0,38.0,40.0,0.0,0.31,9.55
1072,2009-10-16,45.5,39.5,42.5,36.0,39.5,0.001,0.06,8.149999999999999
1074,2009-10-17,52.0,37.5,45.0,33.5,39.5,0.0,0.0055,7.949999999999999
1076,2009-10-18,53.0,32.0,42.5,33.0,39.5,0.0,0.0,6.550000000000001
1078,2009-10-19,65.5,43.5,55.0,40.5,47.0,0.0,0.0,11.15
1080,2009-10-20,63.0,49.5,56.5,47.5,52.0,0.0,0.04,6.35
1082,2009-10-21,69.5,55.0,62.5,51.0,55.5,0.0,0.0055,11.35
1084,2009-10-22,58.0,48.5,53.5,48.5,50.5,0.0,0.935,13.1
1086,2009-10-23,61.5,43.0,52.5,49.5,50.5,0.0,1.09,15.8
1088,2009-10-24,49.5,38.5,44.0,37.0,40.5,0.0,0.045,9.600000000000001
1090,2009-10-25,62.5,44.0,53.5,44.0,48.5,0.0,0.255,7.1
1092,2009-10-26,55.0,49.5,52.5,47.5,49.0,0.0,0.12,7.15
1094,2009-10-27,51.5,46.5,49.0,45.5,47.5,0.0,0.11,6.75
1096,2009-10-28,57.5,50.0,54.0,49.0,51.0,0.0,0.0,3.65
1098,2009-10-29,60.0,47.5,54.0,50.0,52.0,0.0,0.825,12.05
1100,2009-10-30,67.5,46.5,57.5,53.5,56.0,0.0,0.98,17.65
1102,2009-10-31,46.5,36.0,41.5,31.0,38.0,0.0,0.0055,12.65
1104,2010-05-01,70.5,59.5,65.0,53.5,58.5,0.0,0.06,8.75
1106,2010-05-02,68.5,53.5,61.0,52.0,56.0,0.0,0.62,6.5
1108,2010-05-03,72.0,51.0,61.5,45.0,53.0,0.0,0.0,9.45
1110,2010-05-04,79.5,51.5,66.0,43.5,54.0,0.0,0.0,13.399999999999999
1112,2010-05-05,72.5,56.5,64.5,37.0,51.0,0.0,0.001,12.45
1114,2010-05-06,61.5,47.0,54.5,39.0,46.0,0.0,0.030000000000000002,9.6
1116,2010-05-07,59.0,45.5,52.5,46.0,48.5,0.0,0.73,13.5
1118,2010-05-08,50.0,42.0,46.0,35.0,41.0,0.0,0.05,14.8
1120,2010-05-09,57.0,37.5,47.5,29.0,40.0,0.0,0.0,6.15
1122,2010-05-10,58.0,42.0,50.5,30.0,42.0,0.0,0.001,13.6
1124,2010-05-11,55.5,44.0,50.0,46.0,47.5,0.0,0.845,10.15
1126,2010-05-12,52.0,45.0,49.0,45.0,46.5,0.0,0.13,10.2
1128,2010-05-13,75.5,48.5,62.5,53.5,56.0,0.0,1.23,12.850000000000001
1130,2010-05-14,66.5,48.0,57.5,43.5,50.5,0.0,0.0,11.75
1132,2010-05-15,62.0,45.0,53.5,41.5,48.0,0.0,0.0,6.1
1134,2010-05-16,66.0,43.5,55.0,43.0,49.5,0.0,0.0,10.8
1136,2010-05-17,59.0,51.0,55.0,42.5,48.5,0.0,0.06,9.3
1138,2010-05-18,63.5,47.5,56.0,40.5,48.0,0.0,0.0,9.95
1140,2010-05-19,73.5,45.0,59.5,39.0,50.5,0.0,0.0,6.85
1142,2010-05-20,73.0,49.0,61.5,49.0,55.0,0.0,0.07,7.6
1144,2010-05-21,72.5,56.0,64.5,58.0,60.0,0.0,0.305,6.25
1146,2010-05-22,73.0,58.0,65.5,59.0,61.0,0.0,0.005,5.75
1148,2010-05-23,89.0,63.5,76.5,65.5,69.0,0.0,0.0,10.0
1150,2010-05-24,91.0,71.5,81.5,66.5,71.5,0.0,0.0,8.05
1152,2010-05-25,87.5,70.0,79.0,61.5,68.0,0.0,0.0,7.949999999999999
1154,2010-05-26,86.0,68.0,77.5,62.5,68.0,0.0,0.001,5.15
1156,2010-05-27,77.0,62.0,69.5,50.0,59.0,0.0,0.0,11.85
1158,2010-05-28,77.5,58.0,68.0,49.5,58.0,0.0,0.0,9.4
1160,2010-05-29,85.0,60.5,73.0,57.0,63.0,0.0,0.0,5.699999999999999
1162,2010-05-30,91.0,62.5,77.0,59.0,66.0,0.0,0.0005,6.0
1164,2010-05-31,82.5,65.5,74.5,64.5,67.0,0.0,0.915,4.75
1166,2010-06-01,84.5,64.0,74.5,62.5,67.0,0.0,0.0,6.05
1168,2010-06-02,77.0,58.0,67.5,61.0,64.0,0.0,1.1600000000000001,9.399999999999999
1170,2010-06-03,71.0,57.0,64.5,46.0,55.0,0.0,0.0,7.75
1172,2010-06-04,83.0,58.5,71.0,59.5,64.5,0.0,0.0005,9.15
1174,2010-06-05,79.0,60.0,70.0,64.0,66.5,0.0,0.33,7.9
1176,2010-06-06,75.5,56.5,66.5,54.5,59.0,0.0,0.001,10.8
1178,2010-06-07,69.5,55.0,62.5,48.5,55.0,0.0,0.0,7.4
1180,2010-06-08,67.0,58.5,63.0,57.0,59.0,0.0,0.39,9.5
1182,2010-06-09,83.0,66.0,74.5,55.5,63.0,0.0,0.0,10.8
1184,2010-06-10,76.0,59.0,68.0,54.0,60.0,0.0,0.0,6.7
1186,2010-06-11,88.5,64.0,76.5,67.0,71.0,0.0,0.215,10.35
1188,2010-06-12,77.0,62.0,70.0,63.0,65.0,0.0,0.23,7.75
