,Date,Tmax,Tmin,Tavg,DewPoint,WetBulb,SnowFall,PrecipTotal,AvgSpeed
1190,2010-06-13,72.0,61.5,67.0,61.5,63.5,0.0,0.25,4.8
1192,2010-06-14,71.0,60.5,66.0,61.0,62.5,0.0,0.0055,6.55
1194,2010-06-15,79.0,60.5,70.0,65.5,67.0,0.0,0.735,5.9
1196,2010-06-16,84.0,64.0,74.5,60.5,65.0,0.0,0.0,9.6
1198,2010-06-17,84.0,65.5,75.0,61.5,67.0,0.0,0.0,7.2
1200,2010-06-18,90.5,66.5,79.0,66.0,69.0,0.0,0.765,10.0
1202,2010-06-19,85.5,66.0,76.0,60.5,66.0,0.0,0.0,11.05
1204,2010-06-20,80.5,65.5,73.5,60.5,65.0,0.0,0.001,4.95
1206,2010-06-21,85.0,67.5,76.5,66.0,69.0,0.0,0.31,7.7
1208,2010-06-22,85.5,69.5,77.5,68.0,71.0,0.0,0.0,7.050000000000001
1210,2010-06-23,87.0,68.0,77.5,69.5,71.0,0.0,1.05,11.5
1212,2010-06-24,82.5,65.0,74.0,59.5,65.0,0.0,0.0,8.399999999999999
1214,2010-06-25,84.0,64.0,74.0,61.5,66.5,0.0,0.0,7.5
1216,2010-06-26,87.5,68.5,78.0,65.5,69.5,0.0,0.7749999999999999,6.85
1218,2010-06-27,86.0,72.0,79.5,69.5,72.5,0.0,0.71,9.55
1220,2010-06-28,82.0,64.0,73.5,59.0,65.0,0.0,0.0,11.5
1222,2010-06-29,74.0,60.5,67.5,52.5,59.0,0.0,0.0,8.05
1224,2010-06-30,75.5,56.5,66.5,50.0,57.0,0.0,0.0,6.3
1226,2010-07-01,77.0,56.5,67.0,47.5,57.0,0.0,0.0,5.75
1228,2010-07-02,83.0,60.5,72.0,51.5,60.5,0.0,0.0,8.0
1230,2010-07-03,87.0,62.0,75.0,55.0,63.0,0.0,0.0,8.7
1232,2010-07-04,91.5,70.0,81.0,65.5,71.0,0.0,0.015,10.6
1234,2010-07-05,90.5,78.5,85.0,63.5,70.5,0.0,0.0,14.3
1236,2010-07-06,90.5,74.0,82.5,68.5,72.5,0.0,0.205,9.6
1238,2010-07-07,93.5,71.5,82.5,69.5,73.0,0.0,0.125,5.9
1240,2010-07-08,87.5,73.5,81.0,69.5,72.5,0.0,0.155,5.050000000000001
1242,2010-07-09,87.5,71.0,79.5,59.0,67.0,0.0,0.001,7.0
1244,2010-07-10,89.0,69.0,79.0,60.0,67.5,0.0,0.005,7.55
1246,2010-07-11,85.0,66.5,76.0,62.5,67.0,0.0,0.78,7.25
1248,2010-07-12,84.0,65.0,75.0,64.5,68.0,0.0,0.0055,4.25
1250,2010-07-13,84.0,70.5,77.5,64.5,68.5,0.0,0.095,6.5
1252,2010-07-14,90.5,71.0,81.0,70.0,73.5,0.0,0.0,9.649999999999999
1254,2010-07-15,91.0,72.0,82.0,69.0,73.0,0.0,0.005,10.2
1256,2010-07-16,90.0,67.5,79.0,61.0,68.0,0.0,0.0,8.0
1258,2010-07-17,92.5,71.0,82.0,63.5,70.0,0.0,0.0,6.65
1260,2010-07-18,91.5,73.0,82.5,69.0,73.0,0.0,0.15,9.45
1262,2010-07-19,84.0,70.5,77.5,66.0,70.0,0.0,0.0055,4.9
1264,2010-07-20,85.5,68.5,77.0,67.0,70.0,0.0,0.0005,7.550000000000001
1266,2010-07-21,90.5,72.5,82.0,65.5,70.5,0.0,0.0,6.55
1268,2010-07-22,90.0,70.5,80.5,70.5,74.0,0.0,0.015,10.45
1270,2010-07-23,94.5,70.5,82.5,71.0,74.0,0.0,2.9699999999999998,11.4
1272,2010-07-24,87.0,69.0,78.0,70.5,72.5,0.0,4.1850000000000005,9.5
1274,2010-07-25,81.0,67.0,74.5,59.5,65.5,0.0,0.26,9.399999999999999
1276,2010-07-26,84.0,62.5,73.5,62.0,67.0,0.0,0.0,5.300000000000001
1278,2010-07-27,88.0,69.5,79.0,66.5,71.0,0.0,0.0,6.550000000000001
1280,2010-07-28,89.5,75.0,82.5,71.0,74.5,0.0,0.0,9.05
1282,2010-07-29,81.5,68.0,75.0,58.5,65.0,0.0,0.0,7.4
1284,2010-07-30,79.5,70.0,75.0,59.5,65.0,0.0,0.001,5.949999999999999
1286,2010-07-31,79.0,65.0,72.5,63.5,66.5,0.0,0.64,5.3
1288,2010-08-01,85.0,65.5,75.5,64.5,68.0,0.0,0.0,4.0
1290,2010-08-02,84.0,68.5,76.5,66.5,70.0,0.0,0.0405,6.5
1292,2010-08-03,86.5,65.5,76.0,70.5,73.0,0.0,0.9400000000000001,3.45
1294,2010-08-04,82.0,71.0,76.5,71.5,73.0,0.0,0.5249999999999999,4.550000000000001
1296,2010-08-05,83.5,68.0,76.0,62.0,67.0,0.0,0.0,10.350000000000001
1298,2010-08-06,82.0,64.0,73.0,58.5,64.0,0.0,0.0,6.4
1300,2010-08-07,83.5,64.0,74.0,63.5,67.5,0.0,0.0,7.75
1302,2010-08-08,87.0,70.0,78.5,66.5,70.0,0.0,0.065,9.600000000000001
1304,2010-08-09,88.5,73.5,81.0,70.0,73.5,0.0,0.0755,6.8
1306,2010-08-10,88.5,76.0,82.5,71.0,74.0,0.0,0.0,5.4
1308,2010-08-11,90.0,76.0,83.5,69.5,74.0,0.0,0.0,6.7
1310,2010-08-12,90.5,74.5,82.5,69.5,74.0,0.0,0.0,5.7
1312,2010-08-13,92.5,72.5,83.0,70.0,74.0,0.0,0.455,8.3
1314,2010-08-14,88.0,72.0,80.0,68.5,72.5,0.0,0.001,4.6
1316,2010-08-15,83.5,66.5,75.5,62.0,67.5,0.0,0.0,9.05
1318,2010-08-16,80.0,63.5,72.0,54.0,62.0,0.0,0.0,9.600000000000001
1320,2010-08-17,79.0,64.5,72.0,57.0,63.0,0.0,0.03,6.05
1322,2010-08-18,83.5,63.5,74.0,60.5,65.5,0.0,0.045,3.45
1324,2010-08-19,87.5,67.5,77.5,64.0,69.0,0.0,0.0,5.25
1326,2010-08-20,92.5,73.0,83.0,67.0,71.5,0.0,0.0155,10.85
1328,2010-08-21,86.0,71.0,79.0,68.5,71.5,0.0,0.52,5.6
1330,2010-08-22,80.5,68.0,74.5,64.0,67.5,0.0,0.0,9.4
1332,2010-08-23,79.0,66.0,73.0,63.0,67.0,0.0,0.0,7.699999999999999
1334,2010-08-24,82.5,66.0,74.5,61.5,66.0,0.0,0.001,5.55
1336,2010-08-25,79.0,62.0,70.5,50.5,59.0,0.0,0.0,10.100000000000001
1338,2010-08-26,78.5,60.5,69.5,52.0,59.0,0.0,0.0,5.65
1340,2010-08-27,84.5,60.0,72.5,54.5,62.0,0.0,0.0,7.8
1342,2010-08-28,87.5,65.0,76.5,52.0,62.0,0.0,0.0,9.3
1344,2010-08-29,93.5,71.5,83.0,64.5,70.0,0.0,0.0,9.55
1346,2010-08-30,88.0,73.5,81.0,66.0,71.0,0.0,0.0,12.5
1348,2010-08-31,92.5,75.0,84.0,67.5,72.5,0.0,0.0,13.6
1350,2010-09-01,80.5,71.0,76.0,67.0,70.0,0.0,0.15500000000000003,7.1
1352,2010-09-02,83.0,65.5,74.5,67.5,70.0,0.0,1.235,7.4
1354,2010-09-03,71.0,56.5,64.0,51.5,57.0,0.0,0.0005,15.9
1356,2010-09-04,68.0,51.5,60.0,43.5,51.0,0.0,0.001,11.9
1358,2010-09-05,76.5,50.5,64.0,49.0,56.0,0.0,0.001,8.5
1360,2010-09-06,83.0,67.0,75.0,51.0,60.5,0.0,0.0005,14.600000000000001
1362,2010-09-07,78.0,59.0,69.0,48.0,58.0,0.0,0.0005,18.0
1364,2010-09-08,71.0,52.0,61.5,47.5,54.0,0.0,0.0,7.15
1366,2010-09-09,67.5,51.5,60.0,49.0,54.5,0.0,0.0,6.7
1368,2010-09-10,72.0,57.0,65.0,50.5,57.5,0.0,0.0,10.2
1370,2010-09-11,75.0,58.5,67.0,54.5,59.0,0.0,0.2,9.15
1372,2010-09-12,83.0,53.5,68.5,50.5,59.0,0.0,0.0,8.05
1374,2010-09-13,82.0,59.0,71.0,51.5,59.5,0.0,0.0,5.35
1376,2010-09-14,77.0,56.0,67.0,48.5,57.0,0.0,0.0,5.25
1378,2010-09-15,75.0,60.0,67.5,53.0,59.5,0.0,0.0205,8.8
1380,2010-09-16,69.5,55.0,62.5,55.5,59.0,0.0,0.095,12.15
1382,2010-09-17,74.0,50.0,62.5,49.5,56.0,0.0,0.0,4.65
1384,2010-09-18,65.5,59.0,62.5,55.0,58.0,0.0,0.285,6.9
1386,2010-09-19,67.5,55.5,61.5,48.5,55.0,0.0,0.0055,8.15
1388,2010-09-20,76.0,62.5,69.5,60.0,63.5,0.0,0.001,6.8
1390,2010-09-21,88.5,67.5,78.0,63.0,67.5,0.0,0.04,10.95
1392,2010-09-22,74.5,63.5,69.5,61.0,63.0,0.0,0.0,5.6
1394,2010-09-23,89.5,65.5,77.5,61.5,68.0,0.0,0.0,16.0
1396,2010-09-24,79.5,56.5,68.0,53.5,59.0,0.0,0.23,16.950000000000003
1398,2010-09-25,60.0,52.0,56.0,43.0,49.0,0.0,0.0005,9.2
1400,2010-09-26,60.0,51.0,55.5,44.5,49.5,0.0,0.025500000000000002,10.95
1402,2010-09-27,64.0,48.5,56.5,45.5,50.0,0.0,0.005,3.8000000000000003
1404,2010-09-28,70.5,46.0,58.5,44.5,51.5,0.0,0.0,3.7
1406,2010-09-29,75.5,51.0,63.5,46.5,54.5,0.0,0.0,5.6
1408,2010-09-30,74.5,52.5,63.5,49.0,55.0,0.0,0.0,9.7
1410,2010-10-01,73.5,48.5,61.5,43.5,52.0,0.0,0.05,5.9
1412,2010-10-02,56.0,45.5,51.0,41.5,46.5,0.0,0.255,16.6
1414,2010-10-03,56.5,42.5,49.5,38.5,44.0,0.0,0.045,11.15
1416,2010-10-04,59.5,39.5,49.5,39.0,45.0,0.0,0.0,4.0
1418,2010-10-05,67.0,39.5,53.5,37.5,46.0,0.0,0.0,3.1
1420,2010-10-06,78.0,45.5,62.0,43.5,52.5,0.0,0.0,7.6
1422,2010-10-07,76.0,49.0,63.0,39.5,50.5,0.0,0.0,5.35
1424,2010-10-08,79.0,48.5,64.0,38.5,51.5,0.0,0.0,7.199999999999999
1426,2010-10-09,86.5,55.5,71.5,50.5,59.0,0.0,0.0,3.9000000000000004
1428,2010-10-10,84.0,58.0,71.5,50.0,59.0,0.0,0.0,4.0
1430,2010-10-11,81.5,55.5,68.5,52.5,58.5,0.0,0.0,4.15
1432,2010-10-12,76.0,53.0,64.5,54.0,58.5,0.0,0.0,4.45
1434,2010-10-13,64.5,47.5,56.5,47.0,52.5,0.0,0.18,8.45
1436,2010-10-14,66.0,43.0,55.0,32.0,45.0,0.0,0.0,8.6
1438,2010-10-15,62.5,45.5,54.5,41.0,47.0,0.0,0.0,8.649999999999999
1440,2010-10-16,71.0,42.0,57.0,39.0,48.0,0.0,0.0,8.1
1442,2010-10-17,64.5,47.5,56.0,37.0,46.5,0.0,0.0,5.35
1444,2010-10-18,60.5,44.0,52.5,40.5,47.0,0.0,0.0,5.9
1446,2010-10-19,60.5,39.5,50.5,35.0,43.5,0.0,0.0,6.800000000000001
1448,2010-10-20,70.0,45.0,57.5,35.0,46.0,0.0,0.001,12.149999999999999
1450,2010-10-21,56.0,39.5,48.0,29.5,40.0,0.0,0.0,9.4
1452,2010-10-22,64.5,35.0,50.0,30.0,42.0,0.0,0.015,5.8
1454,2010-10-23,66.0,54.0,60.5,45.0,52.5,0.0,0.155,10.850000000000001
1456,2010-10-24,72.5,55.5,64.0,52.0,57.0,0.0,0.53,9.05
1458,2010-10-25,72.0,56.5,64.5,56.0,60.0,0.0,0.005,11.55
1460,2010-10-26,70.5,54.0,62.5,47.0,53.5,0.0,0.32,23.85
1462,2010-10-27,65.0,43.0,54.0,31.5,44.5,0.0,0.0,22.65
1464,2010-10-28,46.0,39.0,43.0,30.5,38.0,0.0,0.0005,14.649999999999999
1466,2010-10-29,50.0,32.0,41.5,26.5,36.0,0.0,0.0,7.95
1468,2010-10-30,63.0,41.5,52.5,32.0,42.0,0.0,0.0,13.3
1470,2010-10-31,52.0,37.5,45.0,30.5,39.0,0.0,0.0,8.4
1472,2011-05-01,63.5,49.5,56.5,37.0,47.5,0.0,0.0,11.75
1474,2011-05-02,59.5,42.5,51.5,31.0,42.0,0.0,0.0,9.9
1476,2011-05-03,50.5,37.5,44.5,30.5,38.0,0.0,0.001,8.149999999999999
1478,2011-05-04,58.0,37.0,47.5,29.0,40.0,0.0,0.0,7.449999999999999
1480,2011-05-05,62.5,38.0,50.5,39.5,46.0,0.0,0.08,11.2
1482,2011-05-06,68.5,44.5,56.5,39.0,48.5,0.0,0.0005,8.55
1484,2011-05-07,60.0,44.5,52.5,45.0,49.0,0.0,0.001,7.4
1486,2011-05-08,68.0,41.5,55.0,43.5,49.5,0.0,0.0,7.5
1488,2011-05-09,73.5,49.0,61.5,45.5,54.0,0.0,0.001,15.149999999999999
1490,2011-05-10,90.5,63.0,77.0,60.5,66.0,0.0,0.0,8.6
1492,2011-05-11,87.5,65.0,76.5,65.5,68.5,0.0,0.20500000000000002,6.5
1494,2011-05-12,86.5,60.5,73.5,62.0,66.0,0.0,0.155,7.75
1496,2011-05-13,77.0,47.0,62.0,54.0,56.5,0.0,0.015,11.25
1498,2011-05-14,52.0,45.5,49.0,46.5,47.5,0.0,0.37,17.049999999999997
1500,2011-05-15,47.0,41.5,44.5,37.0,41.5,0.0,0.33999999999999997,20.15
1502,2011-05-16,52.5,38.5,46.0,30.5,40.0,0.0,0.0,14.0
1504,2011-05-17,60.0,40.0,50.0,34.0,43.5,0.0,0.0,13.149999999999999
1506,2011-05-18,59.0,49.5,54.5,48.5,50.0,0.0,0.05,7.05
1508,2011-05-19,72.5,49.5,61.5,53.0,55.5,0.0,0.0,5.4
1510,2011-05-20,72.5,50.0,61.5,53.5,56.5,0.0,0.0,6.1
1512,2011-05-21,75.5,50.5,63.5,59.0,62.0,0.0,0.0055,8.55
1514,2011-05-22,87.5,63.0,75.5,59.5,64.5,0.001,0.35,11.5
1516,2011-05-23,79.5,62.5,71.5,59.0,64.0,0.0,0.001,11.9
1518,2011-05-24,67.5,47.5,58.0,47.0,52.0,0.0,0.06,11.95
1520,2011-05-25,71.0,48.0,59.5,52.5,54.0,0.0,2.0700000000000003,10.899999999999999
1522,2011-05-26,49.5,43.0,46.5,40.0,43.0,0.0,0.835,18.35
1524,2011-05-27,58.0,41.0,49.5,41.0,46.0,0.0,0.0055,8.35
1526,2011-05-28,63.0,51.5,57.5,55.0,56.0,0.0,0.175,6.25
1528,2011-05-29,71.0,54.5,63.0,59.5,60.5,0.0,1.4,6.15
1530,2011-05-30,89.0,60.5,75.0,65.0,69.5,0.0,0.0,12.2
1532,2011-05-31,86.5,69.0,78.0,64.5,69.0,0.0,0.0405,13.2
1534,2011-06-01,81.5,61.0,71.5,49.0,59.0,0.0,0.0,11.0
1536,2011-06-02,69.0,56.5,63.0,44.5,53.0,0.0,0.0105,9.5
1538,2011-06-03,87.5,56.0,72.0,61.5,67.0,0.0,0.095,11.05
1540,2011-06-04,91.5,65.5,78.5,64.0,68.5,0.0,0.33999999999999997,8.3
1542,2011-06-05,84.5,61.5,73.5,55.0,62.0,0.0,0.0055,5.2
1544,2011-06-06,93.5,61.0,77.5,63.5,69.0,0.0,0.0,9.149999999999999
1546,2011-06-07,96.0,76.0,86.5,64.5,72.0,0.0,0.0,10.35
1548,2011-06-08,95.5,66.5,81.5,63.5,71.0,0.0,0.43,12.75
1550,2011-06-09,69.0,51.0,60.5,53.0,55.5,0.001,1.55,12.25
1552,2011-06-10,70.0,51.0,60.5,56.0,57.5,0.0,0.48,7.75
1554,2011-06-11,63.5,52.5,58.0,54.0,55.5,0.0,0.065,5.75
1556,2011-06-12,64.0,50.5,57.5,45.0,52.0,0.0,0.0,9.4
1558,2011-06-13,71.5,55.0,63.5,43.0,53.0,0.0,0.0,8.25
1560,2011-06-14,77.0,55.5,66.5,49.0,56.5,0.0,0.0,8.45
1562,2011-06-15,71.5,57.0,64.5,59.0,61.5,0.0,0.8200000000000001,11.2
1564,2011-06-16,81.0,61.5,71.5,59.0,63.0,0.0,0.035,8.3
1566,2011-06-17,82.0,62.0,72.0,60.0,64.5,0.0,0.0,6.4
1568,2011-06-18,83.5,62.0,73.0,62.0,65.5,0.0,0.0,6.4
1570,2011-06-19,82.0,64.0,73.0,65.0,68.5,0.0,0.0,5.050000000000001
1572,2011-06-20,79.5,67.0,73.5,67.0,69.0,0.0,0.705,8.8
1574,2011-06-21,89.0,67.5,78.5,70.0,72.5,0.0,0.265,11.95
1576,2011-06-22,74.0,65.0,70.0,62.5,65.0,0.0,0.02,13.4
1578,2011-06-23,71.5,62.5,67.5,59.5,62.5,0.0,0.030000000000000002,13.1
1580,2011-06-24,68.0,60.0,64.0,55.5,59.0,0.0,0.0,9.149999999999999
1582,2011-06-25,78.5,59.5,69.5,52.5,60.0,0.0,0.0005,5.199999999999999
1584,2011-06-26,80.5,60.5,70.5,53.0,60.5,0.0,0.0,6.95
1586,2011-06-27,80.5,66.0,73.5,63.5,67.0,0.0,0.085,10.0
1588,2011-06-28,81.0,64.0,72.5,53.5,61.0,0.0,0.0,9.1
1590,2011-06-29,80.5,61.0,71.0,55.5,62.0,0.0,0.0,5.65
1592,2011-06-30,88.5,63.0,76.0,61.5,67.0,0.0,0.0155,10.0
1594,2011-07-01,89.0,71.0,80.5,62.5,68.0,0.0,0.005,12.850000000000001
1596,2011-07-02,93.5,72.0,83.0,70.5,74.0,0.0,0.0,7.9
1598,2011-07-03,85.0,69.5,77.5,57.5,65.0,0.0,0.0,6.0
1600,2011-07-04,88.5,66.5,77.5,54.0,63.5,0.0,0.0,4.4
1602,2011-07-05,91.5,67.5,80.0,59.5,68.0,0.0,0.0,5.9
1604,2011-07-06,86.5,70.5,78.5,60.5,67.0,0.0,0.0005,7.4
1606,2011-07-07,81.5,64.5,73.5,54.0,62.5,0.0,0.035500000000000004,6.65
1608,2011-07-08,86.0,63.0,75.0,51.5,62.5,0.0,0.0,6.25
1610,2011-07-09,90.5,64.0,77.5,59.0,67.0,0.0,0.0,6.2
1612,2011-07-10,91.0,74.5,83.0,67.5,72.0,0.0,0.001,8.899999999999999
1614,2011-07-11,89.0,70.5,80.0,70.5,74.0,0.0,0.26,8.25
1616,2011-07-12,87.5,70.5,79.5,63.5,69.0,0.0,0.01,7.35
1618,2011-07-13,74.0,64.5,69.5,57.0,62.5,0.0,0.0,11.55
1620,2011-07-14,82.0,62.0,72.5,56.0,63.0,0.0,0.0,8.35
1622,2011-07-15,86.5,70.5,79.0,60.0,66.5,0.0,0.0005,6.75
1624,2011-07-16,89.5,72.5,81.0,60.5,68.0,0.0,0.0005,3.5
1626,2011-07-17,95.0,71.5,83.5,69.0,74.0,0.0,0.0,6.800000000000001
1628,2011-07-18,92.5,80.5,86.5,74.5,77.5,0.0,0.0055,11.25
1630,2011-07-19,92.5,78.5,86.0,72.5,76.5,0.0,0.0,6.4
1632,2011-07-20,99.5,75.0,87.5,73.0,77.0,0.0,0.01,10.3
1634,2011-07-21,100.0,78.5,89.5,71.0,76.5,0.0,0.01,9.4
1636,2011-07-22,94.0,70.5,82.5,70.0,73.5,0.0,0.845,8.6
1638,2011-07-23,87.0,70.0,79.0,70.0,73.0,0.0,3.45,5.1
1640,2011-07-24,87.0,72.0,80.0,69.5,72.5,0.0,0.09999999999999999,6.050000000000001
1642,2011-07-25,89.0,73.0,81.5,66.5,71.0,0.0,0.005,6.3
1644,2011-07-26,84.0,71.5,78.0,62.5,68.0,0.0,0.005,8.25
1646,2011-07-27,91.0,70.0,80.5,66.0,70.5,0.0,0.3555,9.7
1648,2011-07-28,87.5,73.5,80.5,71.0,74.0,0.0,0.3505,6.8
1650,2011-07-29,86.0,72.5,79.5,68.0,71.5,0.0,0.53,5.75
1652,2011-07-30,91.0,67.5,79.5,64.5,70.5,0.0,0.0,3.4
1654,2011-07-31,90.5,70.5,80.5,69.0,73.0,0.0,0.0,5.0
1656,2011-08-01,91.0,75.0,83.5,71.5,75.0,0.0,0.0,5.4
1658,2011-08-02,93.0,74.0,84.0,73.0,76.5,0.0,0.355,8.8
1660,2011-08-03,86.5,72.5,79.5,66.5,71.0,0.0,0.0,9.15
1662,2011-08-04,83.0,69.0,76.5,66.5,69.5,0.0,0.0,6.35
1664,2011-08-05,83.5,69.5,76.5,68.0,71.0,0.0,0.001,5.75
1666,2011-08-06,85.0,72.5,79.0,70.0,72.0,0.0,0.43499999999999994,3.85
1668,2011-08-07,86.5,69.0,78.0,69.0,71.5,0.0,0.62,6.0
1670,2011-08-08,80.0,68.5,74.5,67.0,69.5,0.0,0.45999999999999996,6.0
1672,2011-08-09,81.0,65.0,73.0,61.0,66.0,0.0,0.005,11.35
1674,2011-08-10,77.5,61.5,69.5,54.0,61.0,0.0,0.0,8.35
1676,2011-08-11,81.0,58.5,70.0,54.0,61.0,0.0,0.0,3.6
1678,2011-08-12,81.5,62.5,72.5,58.0,64.0,0.0,0.0,8.45
1680,2011-08-13,83.5,64.0,74.0,63.5,66.0,0.0,0.8400000000000001,7.25
1682,2011-08-14,75.0,62.0,69.0,60.0,63.0,0.0,0.0055,12.149999999999999
1684,2011-08-15,81.0,58.0,70.0,55.0,62.0,0.0,0.0,5.050000000000001
1686,2011-08-16,84.0,62.0,73.0,57.0,63.5,0.0,0.0,3.45
1688,2011-08-17,83.0,63.5,73.5,62.0,67.0,0.0,0.0,6.1
1690,2011-08-18,84.5,69.0,77.0,61.0,66.5,0.0,0.0,5.2
1692,2011-08-19,86.5,65.5,76.5,62.5,68.0,0.0,0.0,5.5
1694,2011-08-20,79.5,67.0,73.5,67.0,69.0,0.0,0.75,4.15
1696,2011-08-21,80.5,65.0,73.0,58.0,63.5,0.0,0.0055,8.05
1698,2011-08-22,82.0,60.0,71.5,59.0,64.0,0.0,0.0,3.8
1700,2011-08-23,73.5,64.0,69.0,62.5,65.0,0.0,0.525,9.65
1702,2011-08-24,91.5,69.5,81.0,65.0,70.0,0.0,0.0,10.85
1704,2011-08-25,81.5,64.5,73.5,59.0,64.0,0.0,0.0,7.15
1706,2011-08-26,83.0,60.0,71.5,58.0,63.5,0.0,0.0,3.3499999999999996
1708,2011-08-27,82.0,65.5,74.0,61.5,66.0,0.0,0.0,9.25
1710,2011-08-28,77.0,61.0,69.0,56.0,61.0,0.0,0.0,8.55
1712,2011-08-29,78.5,60.0,69.5,56.5,62.0,0.0,0.0,3.85
1714,2011-08-30,77.5,62.5,70.5,55.0,61.5,0.0,0.03,6.55
1716,2011-08-31,87.5,65.0,76.5,64.0,68.5,0.0,0.025500000000000002,7.8500000000000005
1718,2011-09-01,93.5,72.5,83.0,70.5,75.0,0.0,0.0,6.1
1720,2011-09-02,93.0,77.5,85.5,69.0,74.0,0.0,0.0005,7.0
1722,2011-09-03,88.0,70.0,79.0,67.5,71.0,0.0,0.08499999999999999,5.95
1724,2011-09-04,73.5,59.0,66.5,54.5,60.5,0.0,0.0005,11.5
1726,2011-09-05,66.0,52.5,59.5,45.5,52.5,0.0,0.0005,15.700000000000001
1728,2011-09-06,66.0,54.0,60.5,46.5,53.0,0.0,0.0,12.2
1730,2011-09-07,70.0,55.0,62.5,47.0,54.5,0.0,0.0,12.05
1732,2011-09-08,74.5,59.5,67.0,53.5,59.0,0.0,0.0305,14.3
1734,2011-09-09,72.0,62.0,67.0,60.5,62.5,0.0,0.065,8.350000000000001
1736,2011-09-10,77.0,57.0,67.0,59.5,62.5,0.0,0.005,2.55
1738,2011-09-11,83.0,58.5,71.0,59.0,63.5,0.0,0.0,5.1
1740,2011-09-12,86.0,64.0,75.0,59.0,65.0,0.0,0.0,10.100000000000001
1742,2011-09-13,74.5,57.0,66.0,54.5,60.0,0.0,0.0,8.25
1744,2011-09-14,59.0,47.5,53.5,44.0,50.0,0.0,0.0405,7.3
1746,2011-09-15,59.5,43.0,51.5,35.5,44.5,0.0,0.0,8.75
1748,2011-09-16,58.5,47.0,53.0,39.0,47.0,0.0,0.0,3.5
1750,2011-09-17,68.5,51.0,60.0,44.5,52.0,0.0,0.0,9.25
1752,2011-09-18,65.5,55.5,60.5,54.5,57.0,0.0,0.385,8.75
1754,2011-09-19,68.5,55.0,62.0,58.0,60.0,0.0,0.32499999999999996,5.8
1756,2011-09-20,74.5,51.0,63.0,54.0,58.0,0.0,0.005,6.699999999999999
1758,2011-09-21,71.5,56.5,64.5,49.0,56.0,0.0,0.001,10.65
1760,2011-09-22,63.5,52.0,58.0,47.0,52.0,0.0,0.0,7.050000000000001
1762,2011-09-23,62.0,48.0,55.0,45.0,50.0,0.0,0.01,6.7
1764,2011-09-24,62.5,51.0,57.0,48.5,51.5,0.0,0.10500000000000001,4.949999999999999
1766,2011-09-25,64.5,52.0,58.5,53.0,55.0,0.0,0.155,5.65
1768,2011-09-26,61.5,53.0,57.5,50.5,53.0,0.0,1.055,13.9
1770,2011-09-27,63.0,54.0,59.0,53.0,55.0,0.0,0.28,7.7
1772,2011-09-28,63.5,53.0,58.5,54.0,55.0,0.0,0.46,6.85
